Product Name,Category,Cost Price,Selling Price,Quantity,Expiry Date (YYYY-MM-DD),Reorder Level
EVER SHEEN LOT M/S,LOTION,,30.00,5,,
EVER SHEEN LOT B/S,LOTION,,38.00,14,,
EVERSHEEN LOT S/S,LOTION,,18.00,29,,
EVERSHEEN CR S/S,LOTION,,15.00,16,,
EVERSHEEN CR B/S,LOTION,,27.00,9,,
QUEEN ELIZABETH LOT B/S,LOTION,,36.00,0,,
QUEEN ELIZABETH LOT M/S,LOTION,,26.00,3,,
QUEEN ELIZABETH LOT S/S,LOTION,,14.00,1,,
QUEEN ELIZABETH CR S/S,LOTION,,12.00,28,,
QUEEN ELIZABETH CR M/S,LOTION,,22.00,21,,
QUEEN ELIZABETH CR B/S,LOTION,,36.00,1,,
SKIN TOUCH COCOA BUTTER LOT S/S,LOTION,,18.00,12,,
BELLA LOT B/S,LOTION,,38.00,6,,
BELLA LOTS/S,LOTION,,14.00,18,,
DERMA SKIN LOT B/S,LOTION,,18.00,11,,
DERMA SKIN LOT S/S,LOTION,,14.00,20,,
COCOA CARE LOT B/S,LOTION,,18.00,3,,
COCOA CARE LOT S/S,LOTION,,12.00,5,,
TENDRINA LOT B/B,LOTION,,25.00,3,,
TENDRINA LOT S/S,LOTION,,14.00,10,,
TENDRINA CR S/S,CREAM,,12.00,11,,
TENDRINA CR B/S,CREAM,,25.00,1,,
HABIBA CR S/S,CREAM,,12.00,17,,
HABIBA CR B/S,CREAM,,17.00,20,,
SISTER POMADE CR S/S,CREAM,,8.00,23,,
SISTER POMADE CR M/S,CREAM,,13.00,7,,
SISTER POMADE CR B/S,CREAM,,24.00,2,,
GET ME CR S/S,CREAM,,5.00,165,,
GET ME CR B/S,CREAM,,10.00,32,,
GET ME LOT,LOTION,,18.00,15,,
PAWPAW LOT S/S,LOTION,,24.00,4,,
PAWPAW LOT M/S,LOTION,,30.00,4,,
PAWPAW LOT B/S,LOTION,,42.00,5,,
DODO LOT,LOTION,,25.00,6,,
MY WAY CR S/S,CREAM,,5.00,24,,
SILVER LINE CR S/S,CREAM,,7.00,4,,
SILVER LINE CR M/S,CREAM,,12.00,12,,
SILVER LINE CR B/S,CREAM,,18.00,11,,
SILVER LINE LOT,CREAM,,12.00,5,,
PAWPAW BOOSTER,BOOSTER,,5.00,56,,
PRINCESS COCOA PAA S/S,CREAM,,10.00,11,,
PRINCESS COCOA PAA CR M/S,CREAM,,16.00,0,,
PRINCESS COCOA PAA CR B/S,CREAM,,25.00,3,,
LEMON PAA PRINCESS CR S/S,CREAM,,10.00,12,,
LEMON PAA PRINCESS CR M/S,CREAM,,16.00,4,,
LEMON PAA PRINCESS CR B/S,CREAM,,25.00,4,,
CARROT PAA CR S/S,CREAM,,10.00,12,,
CARROT PAA CR M/S,CREAM,,16.00,3,,
CARROT PAA CR B/S,CREAM,,25.00,1,,
ALOE PAA CR S/S,CREAM,,10.00,12,,
ALOE PAA CR M/S,CREAM,,16.00,4,,
ALOE PAA CR B/S,CREAM,,25.00,0,,
STYLE UP LOT S/S,LOTION,,12.00,12,,
STYLE UP LOT B/S,LOTION,,18.00,8,,
QUEEN CLEAR LOT B/S,LOTION,,34.00,2,,
CARROTIS LOT,LOTION,,25.00,66,,
SOLDIER BALM CR,CREAM,,10.00,6,,
SIVODERM,CREAM,,14.00,7,,
CAROTONE CR S/S,CREAM,,14.00,11,,
CAROTONE CR B/S,CREAM,,28.00,6,,
CAROTONE LOT S/S,LOTION,,20.00,12,,
CAROTONE LOT M/S,LOTION,,26.00,3,,
CAROTONE LOT B/S,LOTION,,40.00,1,,
COCO DERM CR S/S,CREAM,,14.00,12,,
COCO DERM CR B/S,CREAM,,26.00,6,,
COCO DERM LOT S/S,LOTION,,25.00,3,,
COCO DERM LOT B/S,LOTION,,45.00,3,,
CLAIRMEN LOT S/S,LOTION,,20.00,2,,
CLAIRMEN LOT M/S,LOTION,,26.00,3,,
CLAIRMEN LOT B/S,LOTION,,40.00,3,,
CARO WHITE LOT S/S,LOTION,,20.00,5,,
CARO WHITE LOT M/S,LOTION,,26.00,7,,
CARO WHITE LOT B/S,LOTION,,40.00,3,,
BIO SKIN LOT S/S,LOTION,,13.00,2,,
BIO SKIN LOT B/S,LOTION,,18.00,3,,
WHITE SECRET LOT S/S,LOTION,,24.00,7,,
WHITE SECRET LOT M/S,LOTION,,34.00,13,,
WHITE SECRETE LOT B/S,LOTION,,45.00,4,,
